日期,正常购电成本,紧急购电成本,紧急购电量,弃电量,日总成本,日初SOC,日终SOC,实际再调度电量
2025-07-31,62934.92847199662,0.0,0.0,17934.760146182303,62934.92847199662,3629.6625229411134,3857.193584297778,19799.277080951848
2025-08-01,63967.7236702477,0.0,0.0,66965.63956579423,63967.7236702477,3857.193584297778,10800.0,36439.308652209875
2025-08-02,45116.44169673613,0.0,0.0,49180.698903895056,45116.44169673613,10800.0,8059.413953349999,27315.825421133733
2025-08-03,37994.78665627322,16351.014250311435,3020.1784005313352,2391.9452607983535,54345.800906584656,8059.413953349999,1224.462447,7970.802273289242
2025-08-04,47546.4356661168,0.0,0.0,5887.5261801460965,47546.4356661168,1224.462447,1619.7134680277775,8716.647530386424
2025-08-05,51547.97852009485,0.0,0.0,11459.313535264198,51547.97852009485,1619.7134680277775,2633.837990317036,10478.693141825932
2025-08-06,53945.306104647636,0.0,0.0,11789.346197215236,53945.306104647636,2633.837990317036,3497.7153230214826,16342.01637649713
2025-08-07,56631.17646318994,0.0,0.0,20491.52840945884,56631.17646318994,3497.7153230214826,3833.1476265351844,20028.708388958847
2025-08-08,56591.6700729847,0.0,0.0,62051.03339627406,56591.6700729847,3833.1476265351844,10800.0,33749.30314022594
2025-08-09,40418.83921070049,0.0,0.0,42794.93498548148,40418.83921070049,10800.0,7926.683100123708,24847.277713802054
2025-08-10,35082.73482679046,48496.68900619641,7830.358553463673,0.0,83579.42383298687,7926.683100123708,1201.918584,13235.853862652342
2025-08-11,46022.67434191691,783.2671474181969,116.17971463333288,4329.232787513997,46805.941489335106,1201.918584,1420.372729143704,5198.055647512758
2025-08-12,50634.892534735554,0.0,0.0,7436.117126069961,50634.892534735554,1420.372729143704,2556.24980598889,9626.827664438271
2025-08-13,54373.294871182356,0.0,0.0,14065.154072228397,54373.294871182356,2556.24980598889,3708.979859998891,14737.936441211525
2025-08-14,56263.96098274832,0.0,0.0,17395.820680111938,56263.96098274832,3708.979859998891,3703.420333829262,15806.972617913583
2025-08-15,57483.43285764958,0.0,0.0,61683.154906265336,57483.43285764958,3703.420333829262,10666.663742501114,33486.52744760297
2025-08-16,41166.15765718567,0.0,0.0,45869.933901561315,41166.15765718567,10666.663742501114,8042.541024215927,24147.46297202469
2025-08-17,35126.35049355593,35537.438371080076,6260.711157193336,0.0,70663.78886463601,8042.541024215927,1200.0,9861.336952973339
2025-08-18,45728.23642408399,943.503042643666,138.8796375666666,3330.649391307408,46671.73946672765,1200.0,1666.4601137522272,5905.378560528814
2025-08-19,50417.95442401613,629.6939922502643,93.34959476666631,10509.055171472844,51047.64841626639,1666.4601137522272,2509.5672871529623,12470.88079549671
2025-08-20,53370.05119620157,0.0,0.0,7416.119332766256,53370.05119620157,2509.5672871529623,3349.623617393333,8522.02671413292
2025-08-21,57240.256547523386,0.0,0.0,18499.1124071749,57240.256547523386,3349.623617393333,3953.6276308911138,22537.76193794156
2025-08-22,57710.27941325957,0.0,0.0,58382.62721029423,57710.27941325957,3953.6276308911138,10450.296280353703,33832.7211339465
2025-08-23,42485.32300570771,0.0,0.0,42230.55292618972,42485.32300570771,10450.296280353703,8027.252516282593,24969.222274985594
2025-08-24,36889.88457646376,27379.65630988885,4477.507077704542,704.9851749000034,64269.54088635261,8027.252516282593,1204.4913000000001,12059.54782486254
2025-08-25,47324.81286624455,7383.950508459135,1066.711250070994,671.3863135847713,54708.76337470369,1204.4913000000001,1494.1389620462962,6701.276284255766
2025-08-26,53241.66269137771,0.0,0.0,12889.697636897947,53241.66269137771,1494.1389620462962,2862.86912550593,12612.337068964613
2025-08-27,55554.57506217801,0.0,0.0,13758.935173683125,55554.57506217801,2862.86912550593,3273.0766369259272,14803.017457849786
2025-08-28,58116.36927505323,0.0,0.0,14001.036770335384,58116.36927505323,3273.0766369259272,3834.8570423162955,15529.97060323538
2025-08-29,59917.32103698802,0.0,0.0,59540.70260464592,59917.32103698802,3834.8570423162955,10560.292347643706,35534.64130454593
2025-08-30,43662.032487986886,0.0,0.0,49027.63751492921,43662.032487986886,10560.292347643706,7589.0286736785165,27476.27590521193
2025-08-31,37167.76347441322,42310.808413302635,6586.647916318005,23.57545403333347,79478.57188771587,7589.0286736785165,1341.6457837500002,12194.268511010665
2025-09-01,47816.071519989615,0.0,0.0,14218.092526802477,47816.071519989615,1341.6457837500002,5412.058598240743,15191.24529113581
2025-09-02,46569.300098558975,0.0,0.0,15571.825110230868,46569.300098558975,5412.058598240743,4855.234036490743,11345.97039973086
2025-09-03,48023.10085013159,0.0,0.0,16605.690977767073,48023.10085013159,4855.234036490743,4443.140572946299,18890.920569493825
2025-09-04,49673.89571744784,0.0,0.0,19865.819428566258,49673.89571744784,4443.140572946299,4555.370293835187,20857.087519999586
2025-09-05,49617.47038450387,0.0,0.0,61673.20968402262,49617.47038450387,4555.370293835187,10551.445953695556,33237.149328534564
2025-09-06,33932.64670611933,0.0,0.0,44148.24295086213,33932.64670611933,10551.445953695556,8313.490605698149,25236.524211285585
2025-09-07,28415.833062358302,39859.824223908625,6679.167522051843,0.0,68275.65728626693,8313.490605698149,1202.4058770000001,11884.69782261051
2025-09-08,38698.1785129347,9963.69687139103,1486.4222996787894,881.3083287810774,48661.87538432573,1202.4058770000001,1297.5967344396295,7869.943845793867
2025-09-09,44738.50399059297,0.0,0.0,13864.46395556626,44738.50399059297,1297.5967344396295,2613.6805304940754,14600.928469067081
2025-09-10,46898.35378199433,0.0,0.0,8111.980818261318,46898.35378199433,2613.6805304940754,3187.0146008562992,8688.933209827983
2025-09-11,50814.24041213373,0.0,0.0,21616.278882123454,50814.24041213373,3187.0146008562992,3898.269427774076,20869.644749456787
2025-09-12,50552.01469305676,0.0,0.0,57898.213303251025,50552.01469305676,3898.269427774076,10303.175146308888,33990.935775051024
2025-09-13,35279.17466019819,0.0,0.0,46647.74344522099,35279.17466019819,10303.175146308888,8076.641350345551,27734.860373450625
2025-09-14,29432.599674148718,60076.813811847845,9907.559804504666,0.0,89509.41348599657,8076.641350345551,1200.0,15767.664722995323
2025-09-15,40813.664588467014,7.89360615000031,1.1717666666667128,6455.053073684781,40821.55819461701,1200.0,1631.7039079466651,8045.169783315228
2025-09-16,45267.52232864282,0.0,0.0,8015.059552425921,45267.52232864282,1631.7039079466651,2247.748724727776,10241.498060925918
2025-09-17,48977.13062557911,0.0,0.0,12410.887409286419,48977.13062557911,2247.748724727776,3184.2517324044466,11539.802751719752
2025-09-18,51679.151338912605,0.0,0.0,17385.350972470376,51679.151338912605,3184.2517324044466,3662.6558076118567,17318.00516547038
2025-09-19,52789.54167109312,0.0,0.0,55729.62589694999,52789.54167109312,3662.6558076118567,10800.0,35546.147096156994
2025-09-20,37317.19144153806,0.0,0.0,42488.84007554897,37317.19144153806,10800.0,8174.369418908889,27399.07431401893
2025-09-21,31723.18079005429,27468.707397623286,4445.624418241674,82.14876833333244,59191.88818767758,8174.369418908889,1232.93535855,10557.076611741672
2025-09-22,42389.270886984676,144.60111201369588,25.600795172999483,3845.24588130371,42533.87199899837,1232.93535855,1283.26568913,5927.055443405197
2025-09-23,47721.921157971636,0.0,0.0,8763.118074917702,47721.921157971636,1283.26568913,2439.7404539474082,7927.597678293419
2025-09-24,51472.17343240698,0.0,0.0,14557.884323371598,51472.17343240698,2439.7404539474082,3421.01355415889,14265.87735890493
