日期,正常购电成本,紧急购电成本,紧急购电量,弃电量,日总成本,日终计划SOC,日终实际SOC,实际再调度电量
2025-07-27,40156.091097326695,12600.186820719688,2449.3245985923327,291.54444960000035,52756.277918046384,1200.0,1200.0,6953.351068474334
2025-07-28,51583.16619794943,978.9065432566676,207.86196350000023,495.20688816666564,52562.072741206095,1200.0,1333.1907244722224,5061.454544
2025-07-29,58161.234093420346,211.11115382500134,31.354480000000194,4984.505830635806,58372.34524724535,1200.0,2624.9225485418538,6506.385321497533
2025-07-30,61350.04818844515,0.0,0.0,8395.141927333338,61350.04818844515,1200.0,3629.6625229411143,9326.85521056667
2025-07-31,62934.92847199662,0.0,0.0,8884.722403948563,62934.92847199662,1200.0,3857.1935842977796,10749.239338718104
2025-08-01,63967.72367024771,0.0,0.0,52381.66561505885,63967.72367024771,1200.0,10800.0,21855.334701474483
2025-08-02,45116.44169673614,0.0,0.0,38226.63311171399,45116.44169673614,1200.0,8059.41395335,16361.759628952674
2025-08-03,37994.78665627322,10263.38505944134,2146.1755056979996,1596.7729679555537,48258.17171571456,1200.0,1224.462447,6301.627085613112
2025-08-04,47546.435666116784,0.0,0.0,2109.111660013172,47546.435666116784,1200.0,1619.7134680277795,4938.233010253501
2025-08-05,51547.97852009485,0.0,0.0,6718.2681861024685,51547.97852009485,1200.0,2633.837990317038,5737.647792664201
2025-08-06,53945.306104647636,0.0,0.0,4730.901071642386,53945.306104647636,1200.0,3497.715323021484,9283.571250924284
2025-08-07,56631.17646318995,0.0,0.0,11411.436462666663,56631.17646318995,1200.0,3833.147626535186,10948.616442166665
2025-08-08,56591.6700729847,0.0,0.0,49081.47045267406,56591.6700729847,1200.0,10800.0,20779.740196625942
2025-08-09,40418.8392107005,0.0,0.0,33124.75041155638,40418.8392107005,1200.0,7926.6831001237115,15177.093139876957
2025-08-10,35082.73482679046,11684.694245362178,2231.1132964056656,0.0,46767.429072152634,1200.0,1201.918584,7636.608605594334
2025-08-11,46022.67434191691,783.2671474181961,116.17971463333276,3137.966183250621,46805.941489335106,1200.0,1420.3727291437044,4006.7890432493814
2025-08-12,50634.89253473557,0.0,0.0,3752.6319053991774,50634.89253473557,1200.0,2556.249805988891,5943.342443767486
2025-08-13,54373.294871182356,0.0,0.0,7622.704364725101,54373.294871182356,1200.0,3708.9798599988894,8295.486733708232
2025-08-14,56263.96098274832,0.0,0.0,10414.182395732518,56263.96098274832,1200.0,3703.420333829262,8825.334333534154
2025-08-15,57483.43285764958,0.0,0.0,48758.74372019785,57483.43285764958,1200.0,10666.663742501112,20562.11626153549
2025-08-16,41166.157657185664,0.0,0.0,36574.2530267683,41166.157657185664,1200.0,8042.541024215927,14851.782097231686
2025-08-17,35126.35049355593,13407.737272015554,2649.810151193334,0.0,48534.08776557149,1200.0,1200.0,6250.435946973334
2025-08-18,45728.23642408399,943.5030426436647,138.87963756666636,2010.2155070226343,46671.73946672765,1200.0,1666.4601137522259,4584.944676244031
2025-08-19,50417.954424016134,629.6939922502643,93.34959476666631,4684.2092031214015,51047.6484162664,1200.0,2509.5672871529623,6646.03482714527
2025-08-20,53370.05119620156,0.0,0.0,4659.149134033336,53370.05119620156,1200.0,3349.623617393332,5765.056515399996
2025-08-21,57240.256547523386,0.0,0.0,8053.154961833336,57240.256547523386,1200.0,3953.6276308911147,12091.8044926
2025-08-22,57710.27941325958,0.0,0.0,45143.47208725719,57710.27941325958,1200.0,10450.296280353703,20593.566010909468
2025-08-23,42485.323005707716,0.0,0.0,32513.75633703539,42485.323005707716,1200.0,8027.252516282593,15252.425685831276
2025-08-24,36889.88457646376,7313.565869781561,1486.822282020996,319.2601504000006,44203.45044624532,1200.0,1204.4913000000001,8683.138004679005
2025-08-25,47324.81286624455,346.74343656233117,51.51727506666634,413.9381165000001,47671.55630280689,1200.0,1494.1389620462967,5428.634112166667
2025-08-26,53241.6626913777,0.0,0.0,7153.986622500002,53241.6626913777,1200.0,2862.8691255059293,6876.62605456667
2025-08-27,55554.57506217801,0.0,0.0,7115.959648333335,55554.57506217801,1200.0,3273.0766369259263,8160.041932499998
2025-08-28,58116.36927505323,0.0,0.0,7768.996294000004,58116.36927505323,1200.0,3834.8570423162955,9297.930126899999
2025-08-29,59917.32103698801,0.0,0.0,45433.4685839,59917.32103698801,1200.0,10560.292347643706,21427.4072838
2025-08-30,43662.032487986886,0.0,0.0,37697.27933650864,43662.032487986886,1200.0,7589.0286736785165,16145.917726791355
2025-08-31,37167.763474413216,7585.520660895847,1336.20874232034,23.575454033333244,44753.28413530906,1200.0,1341.6457837500002,6943.829337012992
2025-09-01,47816.071519989615,0.0,0.0,8625.9182175,47816.071519989615,1200.0,5412.058598240742,9599.070981833333
2025-09-02,46569.300098558975,0.0,0.0,11578.145376033335,46569.300098558975,1200.0,4855.234036490743,7352.290665533332
2025-09-03,48023.100850131596,0.0,0.0,8290.784722536626,48023.100850131596,1200.0,4443.1405729462995,10576.014314263379
2025-09-04,49673.89571744784,0.0,0.0,10718.338010233332,49673.89571744784,1200.0,4555.370293835186,11709.60610166667
2025-09-05,49617.470384503875,0.0,0.0,48866.668462810696,49617.470384503875,1200.0,10551.445953695558,20430.608107322638
2025-09-06,33932.64670611933,0.0,0.0,34518.106631038274,33932.64670611933,1200.0,8313.490605698149,15606.387891461723
2025-09-07,28415.833062358302,9011.225682382283,1691.3939601373336,0.0,37427.058744740585,1200.0,1202.4058770000001,6896.924260695998
2025-09-08,38698.1785129347,198.1817756254924,65.18354554966626,351.1035265666667,38896.36028856019,1200.0,1297.5967344396292,5918.500289450332
2025-09-09,44738.50399059297,0.0,0.0,6980.8286350662565,44738.50399059297,1200.0,2613.6805304940767,7717.293148567077
2025-09-10,46898.35378199433,0.0,0.0,4985.251035133336,46898.35378199433,1200.0,3187.014600856299,5562.203426700002
2025-09-11,50814.24041213374,0.0,0.0,12036.615442999999,50814.24041213374,1200.0,3898.2694277740748,11289.981310333333
2025-09-12,50552.01469305676,0.0,0.0,44502.30255293333,50552.01469305676,1200.0,10303.175146308888,20595.02502473333
2025-09-13,35279.17466019819,0.0,0.0,35530.24803321852,35279.17466019819,1200.0,8076.641350345552,16617.364961448147
2025-09-14,29432.599674148718,12536.557410245203,2583.117184771332,0.0,41969.15708439392,1200.0,1200.0,8443.222103261996
