日期,正常费,调整费,紧急费,总费用,紧急电量,未利用供给,日初电量,日末电量,预测方法
2025-07-15,58018.574701390105,0.0,8.790834726823959e-13,58018.574701390105,2.8421709430404007e-13,12416.904919164434,4684.980902601853,5221.000103703704,weekly
2025-07-16,52518.7884155043,0.0,1.1580709724512417e-12,52518.7884155043,2.8421709430404007e-13,9081.280324106265,5221.000103703704,2467.301928031483,weekly
2025-07-17,53059.89831027672,0.0,198.5601346083356,53258.45844488506,29.38801666666717,7224.740953180868,2467.301928031483,2295.8848973626896,weekly
2025-07-18,26713.676366855154,0.0,6.444764721891261e-13,26713.676366855154,2.5579538487363607e-13,10677.424736916384,2295.8848973626896,2633.225217398454,weekly
2025-07-19,26369.94606851346,0.0,0.0,26369.94606851346,0.0,14954.2202556148,2633.225217398454,2219.386108098338,weekly
2025-07-20,53894.87023882217,0.0,42.230337434715814,53937.10057625689,6.261448207386138,8619.922880197453,2219.386108098338,2519.776845724566,weekly
2025-07-21,54042.68880942067,0.0,193.6100437333355,54236.29885315401,27.75373333333397,6244.080445946698,2519.776845724566,3023.854475585183,weekly
2025-07-22,53809.767848701784,0.0,21.313656533335028,53831.08150523512,3.0552833333338185,7524.525117768868,3023.854475585183,2264.71577542037,weekly
2025-07-23,53626.56854508609,0.0,145.79578624670447,53772.36433133279,21.637528160413886,6672.9488640345,2264.71577542037,2094.7008772292857,ridge
2025-07-24,53704.32623005793,0.0,230.41969032255963,53934.74592038049,34.181826186405544,6769.422076365392,2094.7008772292857,2667.2979039836355,ridge
2025-07-25,31768.640808095868,0.0,0.0,31768.640808095868,0.0,20671.254132291673,2667.2979039836355,5212.236039519993,ridge
2025-07-26,25410.31203067172,0.0,9.083578333957121e-13,25410.31203067172,2.2737367544323206e-13,12877.090558164291,5212.236039519993,2786.0611246462995,weekly
2025-07-27,53912.74461807893,0.0,477.37938645833356,54390.12400453726,70.89915833333347,7279.185604561102,2786.0611246462995,2700.202485201853,weekly
